2,84257
1,86714
1,89172
1,91629
1,94087
1,96544
1,99001
1,101459
1,103916
1,106373
2,108831
1,111288
1,113746
1,116203
1,118660
1,121118
1,123575
1,126033
1,128490
1,130947
0,138403
0,140977
3,143552
3,146009
3,148467
3,150924
3,153381
3,155839
3,158296
3,160753
3,163211
3,165668
3,168126
3,170583
3,173040
3,175498
3,177955
3,180413
0,182870
0,185444
1,222924
1,225381
1,227838
1,230296
1,232753
1,235211
1,237668
1,240125
1,242583
1,245040
1,247497
1,249955
2,252412
1,254870
1,257327
1,259784
1,262242
1,264699
1,267156
1,269614
0,277070
0,279644
3,282218
3,284676
3,287133
3,289591
3,292048
3,294505
3,296963
3,299420
3,301877
3,304335
3,306792
3,309250
3,311707
3,314164
3,316622
3,319079
3,321537
3,323994
1,361457
2,363914
1,366371
1,368829
1,371286
1,373743
1,376201
1,378658
1,381116
1,383573
1,386030
1,388488
1,390945
1,393403
1,395860
1,398317
1,400775
1,403232
1,405689
1,408147
0,415603
0,418177
3,420751
3,423209
3,425666
3,428123
3,430581
3,433038
3,435496
3,437953
3,440410
3,442868
3,445325
3,447783
3,450240
3,452697
3,455155
3,457612
3,460069
3,462527
1,499989
1,502447
1,504904
1,507362
1,509819
1,512276
1,514734
1,517191
1,519648
1,522106
1,524563
1,527021
1,529478
1,531935
1,534393
1,536850
1,539308
1,541765
1,544222
1,546680
4,554135
0,556593
3,559167
3,561625
3,564082
3,566539
3,568997
3,571454
3,573912
3,576369
3,578826
3,581284
3,583741
3,586198
3,588656
3,591113
3,593571
3,596028
0,598485
0,601060
1,638539
1,640996
1,643454
1,645911
1,648369
1,650826
1,653283
1,655741
1,658198
1,660655
1,663113
1,665570
1,668028
1,670485
1,672942
1,675400
1,677857
1,680315
1,682772
1,685229
0,692685
0,695259
3,697834
3,700291
3,702749
3,705206
3,707663
3,710121
3,712578
3,715036
3,717493
3,719950
3,722408
3,724865
3,727322
3,729780
3,732237
3,734695
3,737152
3,739609
1,777072
1,779529
1,781987
1,784444
1,786901
1,789359
1,791816
1,794274
1,796731
1,799188
1,801646
1,804103
1,806561
1,809018
1,811475
2,813933
1,816390
1,818847
1,821305
1,823762
0,831218
0,833792
3,836367
3,838824
3,841282
3,843739
3,846196
3,848654
3,851111
3,853568
3,856026
4,858483
3,860941
3,863398
3,865855
3,868313
4,870770
0,873228
3,875802
0,878259
